Index,Year of Service,Q2 20 SC ,Q2_Incentive,Grade,TOTAL REV_Jul20,Q2 20WM Revenue % Ach,Q2 20CASA Growth % Ach,TOTAL NQC/NTB %Ach_Jul20,TOTAL Mob_Banking %Ach_Jul20,Jul20_WM,Jul20_CS ACH
1,9,2.46,87863193.96,11,879401417.8,4.832648915,-0.346643503,0.0,0.485596708,750455620.8,0.26
2,10,3.255,78986787.41,12,819238856.7,2.355982192,-21.08872909,0.5,0.712338105,427931769.8,0.74
3,5,1.7825,21667964.21,11,779310878.8,0.907895888,8.469857613,0.0,0.723232323,469477058.6,1.86
4,4,1.7875,139870313.4,12,2084216803.0,4.331415626,-9.162848096,1.0,0.56207446,824765897.9,0.97
5,8,1.9825,14407238.96,11,651402170.0,0.39336935,11.76372283,0.0,0.460099275,426004328.0,1.14
6,3,1.84,23035939.15,10,597866200.1,2.255474385,-10.54165466,1.0,0.596525729,430164778.8,0.5
7,3,3.39,42340804.98,11,645519348.0,2.811980002,-21.21959821,1.4,0.630714396,284762739.5,1.16
8,3,1.4375,22174016.6,10,682585097.9,1.713866917,-1.425399734,1.0,0.683950617,450604468.7,0.59
9,6,9.38,45522076.26,12,337047211.5,0.67215999,-42.12228917,0.0,0.634573304,258013320.6,0.29
10,16,1.8625,36724660.87,11,656323405.3,1.345781918,-13.00056189,0.0,0.616319444,375729993.5,1.68
11,30,1.58,31123970.52,12,648888201.4,1.198822056,7.589975705,3.0,0.712093309,306173590.8,3.85
12,9,1.39,4352583.168,11,364244443.5,1.277810139,1.538289547,0.0,0.643939394,241481079.0,1.74
13,4,1.455,17517904.65,11,401938472.6,1.813447038,6.266738727,1.5,0.644185041,295816613.2,0.33
14,3,0.87,6000000.0,11,531033468.0,0.718235013,2.716629369,0.0,0.48361311,377290978.3,0.18
15,1,1.655,33730311.54,11,410608561.5,1.93634176,-0.243195657,2.0,0.696040868,275690268.3,0.64
16,15,1.145,22335992.52,11,634170308.8,1.364744838,0.383781421,0.0,0.666666667,301200238.9,0.63
17,2,1.805,24643771.59,10,378560945.7,2.807343932,5.663014457,0.2,0.5893186,183694346.3,0.62
18,5,2.255,49969872.71,11,460169424.2,3.463224259,10.7911746,3.5,0.730730731,240163519.7,1.71
19,3,1.49,13583705.84,11,456106548.4,0.744913545,-3.483515295,2.0,0.848861284,218634118.5,1.04
20,6,1.4575,16842956.95,10,365444858.0,1.331574022,13.63964089,0.0,0.611620795,215938397.1,0.16
21,2,1.535,26295880.34,11,562941171.9,1.196720236,-2.653644402,0.0,0.622165533,224869142.0,1.74
22,15,0.555,12000000.0,12,711058727.0,0.618530976,1.064082491,1.5,0.498737374,294214562.7,0.42
23,19,1.6025,11800039.25,11,272606947.1,2.492192202,-0.383774005,0.0,0.61827957,197716707.4,1.0
24,1,1.4025,11754293.66,11,348673168.9,1.779475989,0.784761907,0.4,0.716723549,180913844.5,1.31
25,7,1.195,12661335.88,11,416446546.7,1.673309443,1.668962126,0.6,0.571278826,159602844.5,0.59
26,7,1.3475,12871129.43,10,464634764.0,1.188250019,0.552433526,0.2,0.559094126,146909983.7,2.56
27,1,3.2925,63695608.09,11,481230490.0,3.812663614,8.756281861,2.5,0.68982508,133866247.5,1.97
28,10,0.7875,0.0,11,492317316.8,1.119187874,-9.773927298,0.0,0.511982571,301491691.1,1.34
